intrinsic,argument_preparation,a64_instruction,result,supported_architecture
"uint8x16_t vdupq_laneq_u8(uint8x16_t vec, const int lane)","vec → Vn.16B
0 <= lane <= 15","DUP Vd.16B,Vn.B[lane]",Vd.16B,ARMv8(AArch64)
"uint16x4_t vdup_laneq_u16(uint16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Vd.4H,Vn.H[lane]",Vd.4H,ARMv8(AArch64)
"uint16x8_t vdupq_laneq_u16(uint16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Vd.8H,Vn.H[lane]",Vd.8H,ARMv8(AArch64)
"uint32x2_t vdup_laneq_u32(uint32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Vd.2S,Vn.S[lane]",Vd.2S,ARMv8(AArch64)
"uint32x4_t vdupq_laneq_u32(uint32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Vd.4S,Vn.S[lane]",Vd.4S,ARMv8(AArch64)
"uint64x1_t vdup_laneq_u64(uint64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"uint64x2_t vdupq_laneq_u64(uint64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Vd.2D,Vn.D[lane]",Vd.2D,ARMv8(AArch64)
"poly64x1_t vdup_laneq_p64(poly64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Dd,Vn.D[lane]",Dd,ARMv8
"poly64x2_t vdupq_laneq_p64(poly64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Vd.2D,Vn.D[lane]",Vd.2D,ARMv8
"float32x2_t vdup_laneq_f32(float32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Vd.2S,Vn.S[lane]",Vd.2S,ARMv8(AArch64)
"float32x4_t vdupq_laneq_f32(float32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Vd.4S,Vn.S[lane]",Vd.4S,ARMv8(AArch64)
"poly8x8_t vdup_laneq_p8(poly8x16_t vec, const int lane)","vec → Vn.16B
0 <= lane <= 15","DUP Vd.8B,Vn.B[lane]",Vd.8B,ARMv8(AArch64)
"poly8x16_t vdupq_laneq_p8(poly8x16_t vec, const int lane)","vec → Vn.16B
0 <= lane <= 15","DUP Vd.16B,Vn.B[lane]",Vd.16B,ARMv8(AArch64)
"poly16x4_t vdup_laneq_p16(poly16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Vd.4H,Vn.H[lane]",Vd.4H,ARMv8(AArch64)
"poly16x8_t vdupq_laneq_p16(poly16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Vd.8H,Vn.H[lane]",Vd.8H,ARMv8(AArch64)
"float64x1_t vdup_laneq_f64(float64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"float64x2_t vdupq_laneq_f64(float64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Vd.2D,Vn.D[lane]",Vd.2D,ARMv8(AArch64)
"int8x16_t vcombine_s8(int8x8_t low, int8x8_t high)","low → Vn.8B
high → Vm.8B","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.16B,"ARMv7
ARMv8"
"int16x8_t vcombine_s16(int16x4_t low, int16x4_t high)","low → Vn.4H
high → Vm.4H","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.8H,"ARMv7
ARMv8"
"int32x4_t vcombine_s32(int32x2_t low, int32x2_t high)","low → Vn.2S
high → Vm.2S","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vcombine_s64(int64x1_t low, int64x1_t high)","low → Vn.1D
high → Vm.1D","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.2D,"ARMv7
ARMv8"
"uint8x16_t vcombine_u8(uint8x8_t low, uint8x8_t high)","low → Vn.8B
high → Vm.8B","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.16B,"ARMv7
ARMv8"
"uint16x8_t vcombine_u16(uint16x4_t low, uint16x4_t high)","low → Vn.4H
high → Vm.4H","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.8H,"ARMv7
ARMv8"
"uint32x4_t vcombine_u32(uint32x2_t low, uint32x2_t high)","low → Vn.2S
high → Vm.2S","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.4S,"ARMv7
ARMv8"
"uint64x2_t vcombine_u64(uint64x1_t low, uint64x1_t high)","low → Vn.1D
high → Vm.1D","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.2D,"ARMv7
ARMv8"
"poly64x2_t vcombine_p64(poly64x1_t low, poly64x1_t high)","low → Vn.1D
high → Vm.1D","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.2D,ARMv8
"float16x8_t vcombine_f16(float16x4_t low, float16x4_t high)","low → Vn.4H
high → Vm.4H","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.8H,"ARMv7
ARMv8"
"float32x4_t vcombine_f32(float32x2_t low, float32x2_t high)","low → Vn.2S
high → Vm.2S","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.4S,"ARMv7
ARMv8"
"poly8x16_t vcombine_p8(poly8x8_t low, poly8x8_t high)","low → Vn.8B
high → Vm.8B","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.16B,"ARMv7
ARMv8"
"poly16x8_t vcombine_p16(poly16x4_t low, poly16x4_t high)","low → Vn.4H
high → Vm.4H","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.8H,"ARMv7
ARMv8"
"float64x2_t vcombine_f64(float64x1_t low, float64x1_t high)","low → Vn.1D
high → Vm.1D","DUP Vd.1D,Vn.D[0]
INS Vd.D[1],Vm.D[0]",Vd.2D,ARMv8(AArch64)
int8x8_t vget_high_s8(int8x16_t a),a → Vn.16B,"DUP Vd.1D,Vn.D[1]",Vd.8B,"ARMv7
ARMv8"
int16x4_t vget_high_s16(int16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[1]",Vd.4H,"ARMv7
ARMv8"
int32x2_t vget_high_s32(int32x4_t a),a → Vn.4S,"DUP Vd.1D,Vn.D[1]",Vd.2S,"ARMv7
ARMv8"
int64x1_t vget_high_s64(int64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[1]",Vd.1D,"ARMv7
ARMv8"
uint8x8_t vget_high_u8(uint8x16_t a),a → Vn.16B,"DUP Vd.1D,Vn.D[1]",Vd.8B,"ARMv7
ARMv8"
uint16x4_t vget_high_u16(uint16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[1]",Vd.4H,"ARMv7
ARMv8"
uint32x2_t vget_high_u32(uint32x4_t a),a → Vn.4S,"DUP Vd.1D,Vn.D[1]",Vd.2S,"ARMv7
ARMv8"
uint64x1_t vget_high_u64(uint64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[1]",Vd.1D,"ARMv7
ARMv8"
poly64x1_t vget_high_p64(poly64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[1]",Vd.1D,ARMv8
float16x4_t vget_high_f16(float16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[1]",Vd.4H,ARMv8(AArch64)
float32x2_t vget_high_f32(float32x4_t a),a → Vn.4S,"DUP Vd.1D,Vn.D[1]",Vd.2S,"ARMv7
ARMv8"
poly8x8_t vget_high_p8(poly8x16_t a),a → Vn.16B,"DUP Vd.1D,Vn.D[1]",Vd.8B,"ARMv7
ARMv8"
poly16x4_t vget_high_p16(poly16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[1]",Vd.4H,"ARMv7
ARMv8"
float64x1_t vget_high_f64(float64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[1]",Vd.1D,ARMv8(AArch64)
int8x8_t vget_low_s8(int8x16_t a),a → Vn.16B,"DUP Vd.1D,Vn.D[0]",Vd.8B,"ARMv7
ARMv8"
int16x4_t vget_low_s16(int16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[0]",Vd.4H,"ARMv7
ARMv8"
int32x2_t vget_low_s32(int32x4_t a),a → Vn.4S,"DUP Vd.1D,Vn.D[0]",Vd.2S,"ARMv7
ARMv8"
int64x1_t vget_low_s64(int64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[0]",Vd.1D,"ARMv7
ARMv8"
uint8x8_t vget_low_u8(uint8x16_t a),a → Vn.16B,"DUP Vd.1D,Vn.D[0]",Vd.8B,"ARMv7
ARMv8"
uint16x4_t vget_low_u16(uint16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[0]",Vd.4H,"ARMv7
ARMv8"
uint32x2_t vget_low_u32(uint32x4_t a),a → Vn.4S,"DUP Vd.1D,Vn.D[0]",Vd.2S,"ARMv7
ARMv8"
uint64x1_t vget_low_u64(uint64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[0]",Vd.1D,"ARMv7
ARMv8"
poly64x1_t vget_low_p64(poly64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[0]",Vd.1D,ARMv8
float16x4_t vget_low_f16(float16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[0]",Vd.4H,ARMv8(AArch64)
float32x2_t vget_low_f32(float32x4_t a),a → Vn.4S,"DUP Vd.1D,Vn.D[0]",Vd.2S,"ARMv7
ARMv8"
poly8x8_t vget_low_p8(poly8x16_t a),a → Vn.16B,"DUP Vd.1D,Vn.D[0]",Vd.8B,"ARMv7
ARMv8"
poly16x4_t vget_low_p16(poly16x8_t a),a → Vn.8H,"DUP Vd.1D,Vn.D[0]",Vd.4H,"ARMv7
ARMv8"
float64x1_t vget_low_f64(float64x2_t a),a → Vn.2D,"DUP Vd.1D,Vn.D[0]",Vd.1D,ARMv8(AArch64)
"int8_t vdupb_lane_s8(int8x8_t vec, const int lane)","vec → Vn.8B
0 <= lane <= 7","DUP Bd,Vn.B[lane]",Bd,ARMv8(AArch64)
"int16_t vduph_lane_s16(int16x4_t vec, const int lane)","vec → Vn.4H
0 <= lane <= 3","DUP Hd,Vn.H[lane]",Hd,ARMv8(AArch64)
"int32_t vdups_lane_s32(int32x2_t vec, const int lane)","vec → Vn.2S
0 <= lane <= 1","DUP Sd,Vn.S[lane]",Sd,ARMv8(AArch64)
"int64_t vdupd_lane_s64(int64x1_t vec, const int lane)","vec → Vn.1D
lane == 0","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"uint8_t vdupb_lane_u8(uint8x8_t vec, const int lane)","vec → Vn.8B
0 <= lane <= 7","DUP Bd,Vn.B[lane]",Bd,ARMv8(AArch64)
"uint16_t vduph_lane_u16(uint16x4_t vec, const int lane)","vec → Vn.4H
0 <= lane <= 3","DUP Hd,Vn.H[lane]",Hd,ARMv8(AArch64)
"uint32_t vdups_lane_u32(uint32x2_t vec, const int lane)","vec → Vn.2S
0 <= lane <= 1","DUP Sd,Vn.S[lane]",Sd,ARMv8(AArch64)
"uint64_t vdupd_lane_u64(uint64x1_t vec, const int lane)","vec → Vn.1D
lane == 0","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"float32_t vdups_lane_f32(float32x2_t vec, const int lane)","vec → Vn.2S
0 <= lane <= 1","DUP Sd,Vn.S[lane]",Sd,ARMv8(AArch64)
"float64_t vdupd_lane_f64(float64x1_t vec, const int lane)","vec → Vn.1D
lane == 0","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"poly8_t vdupb_lane_p8(poly8x8_t vec, const int lane)","vec → Vn.8B
0 <= lane <= 7","DUP Bd,Vn.B[lane]",Bd,ARMv8(AArch64)
"poly16_t vduph_lane_p16(poly16x4_t vec, const int lane)","vec → Vn.4H
0 <= lane <= 3","DUP Hd,Vn.H[lane]",Hd,ARMv8(AArch64)
"int8_t vdupb_laneq_s8(int8x16_t vec, const int lane)","vec → Vn.16B
0 <= lane <= 15","DUP Bd,Vn.B[lane]",Bd,ARMv8(AArch64)
"int16_t vduph_laneq_s16(int16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Hd,Vn.H[lane]",Hd,ARMv8(AArch64)
"int32_t vdups_laneq_s32(int32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Sd,Vn.S[lane]",Sd,ARMv8(AArch64)
"int64_t vdupd_laneq_s64(int64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"uint8_t vdupb_laneq_u8(uint8x16_t vec, const int lane)","vec → Vn.16B
0 <= lane <= 15","DUP Bd,Vn.B[lane]",Bd,ARMv8(AArch64)
"uint16_t vduph_laneq_u16(uint16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Hd,Vn.H[lane]",Hd,ARMv8(AArch64)
"uint32_t vdups_laneq_u32(uint32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Sd,Vn.S[lane]",Sd,ARMv8(AArch64)
"uint64_t vdupd_laneq_u64(uint64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"float32_t vdups_laneq_f32(float32x4_t vec, const int lane)","vec → Vn.4S
0 <= lane <= 3","DUP Sd,Vn.S[lane]",Sd,ARMv8(AArch64)
"float64_t vdupd_laneq_f64(float64x2_t vec, const int lane)","vec → Vn.2D
0 <= lane <= 1","DUP Dd,Vn.D[lane]",Dd,ARMv8(AArch64)
"poly8_t vdupb_laneq_p8(poly8x16_t vec, const int lane)","vec → Vn.16B
0 <= lane <= 15","DUP Bd,Vn.B[lane]",Bd,ARMv8(AArch64)
"poly16_t vduph_laneq_p16(poly16x8_t vec, const int lane)","vec → Vn.8H
0 <= lane <= 7","DUP Hd,Vn.H[lane]",Hd,ARMv8(AArch64)
int8x8_t vld1_s8(int8_t const * ptr),ptr → Xn,"LD1 {Vt.8B},[Xn]",Vt.8B,"ARMv7
ARMv8"
int8x16_t vld1q_s8(int8_t const * ptr),ptr → Xn,"LD1 {Vt.16B},[Xn]",Vt.16B,"ARMv7
ARMv8"
int16x4_t vld1_s16(int16_t const * ptr),ptr → Xn,"LD1 {Vt.4H},[Xn]",Vt.4H,"ARMv7
ARMv8"
int16x8_t vld1q_s16(int16_t const * ptr),ptr → Xn,"LD1 {Vt.8H},[Xn]",Vt.8H,"ARMv7
ARMv8"
int32x2_t vld1_s32(int32_t const * ptr),ptr → Xn,"LD1 {Vt.2S},[Xn]",Vt.2S,"ARMv7
ARMv8"
int32x4_t vld1q_s32(int32_t const * ptr),ptr → Xn,"LD1 {Vt.4S},[Xn]",Vt.4S,"ARMv7
ARMv8"
int64x1_t vld1_s64(int64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,"ARMv7
ARMv8"
int64x2_t vld1q_s64(int64_t const * ptr),ptr → Xn,"LD1 {Vt.2D},[Xn]",Vt.2D,"ARMv7
ARMv8"
uint8x8_t vld1_u8(uint8_t const * ptr),ptr → Xn,"LD1 {Vt.8B},[Xn]",Vt.8B,"ARMv7
ARMv8"
uint8x16_t vld1q_u8(uint8_t const * ptr),ptr → Xn,"LD1 {Vt.16B},[Xn]",Vt.16B,"ARMv7
ARMv8"
uint16x4_t vld1_u16(uint16_t const * ptr),ptr → Xn,"LD1 {Vt.4H},[Xn]",Vt.4H,"ARMv7
ARMv8"
uint16x8_t vld1q_u16(uint16_t const * ptr),ptr → Xn,"LD1 {Vt.8H},[Xn]",Vt.8H,"ARMv7
ARMv8"
uint32x2_t vld1_u32(uint32_t const * ptr),ptr → Xn,"LD1 {Vt.2S},[Xn]",Vt.2S,"ARMv7
ARMv8"
uint32x4_t vld1q_u32(uint32_t const * ptr),ptr → Xn,"LD1 {Vt.4S},[Xn]",Vt.4S,"ARMv7
ARMv8"
uint64x1_t vld1_u64(uint64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,"ARMv7
ARMv8"
uint64x2_t vld1q_u64(uint64_t const * ptr),ptr → Xn,"LD1 {Vt.2D},[Xn]",Vt.2D,"ARMv7
ARMv8"
poly64x1_t vld1_p64(poly64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,ARMv8
poly64x2_t vld1q_p64(poly64_t const * ptr),ptr → Xn,"LD1 {Vt.2D},[Xn]",Vt.2D,ARMv8
float16x4_t vld1_f16(float16_t const * ptr),ptr → Xn,"LD1 {Vt.4H},[Xn]",Vt.4H,"ARMv7
ARMv8"
float16x8_t vld1q_f16(float16_t const * ptr),ptr → Xn,"LD1 {Vt.8H},[Xn]",Vt.8H,"ARMv7
ARMv8"
float32x2_t vld1_f32(float32_t const * ptr),ptr → Xn,"LD1 {Vt.2S},[Xn]",Vt.2S,"ARMv7
ARMv8"
float32x4_t vld1q_f32(float32_t const * ptr),ptr → Xn,"LD1 {Vt.4S},[Xn]",Vt.4S,"ARMv7
ARMv8"
poly8x8_t vld1_p8(poly8_t const * ptr),ptr → Xn,"LD1 {Vt.8B},[Xn]",Vt.8B,"ARMv7
ARMv8"
poly8x16_t vld1q_p8(poly8_t const * ptr),ptr → Xn,"LD1 {Vt.16B},[Xn]",Vt.16B,"ARMv7
ARMv8"
poly16x4_t vld1_p16(poly16_t const * ptr),ptr → Xn,"LD1 {Vt.4H},[Xn]",Vt.4H,"ARMv7
ARMv8"
poly16x8_t vld1q_p16(poly16_t const * ptr),ptr → Xn,"LD1 {Vt.8H},[Xn]",Vt.8H,"ARMv7
ARMv8"
float64x1_t vld1_f64(float64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,ARMv8(AArch64)
float64x2_t vld1q_f64(float64_t const * ptr),ptr → Xn,"LD1 {Vt.2D},[Xn]",Vt.2D,ARMv8(AArch64)
"int8x8_t vld1_lane_s8(int8_t const * ptr, int8x8_t src, const int lane)","ptr → Xn
src → Vt.8B
0 <= lane <= 7","LD1 {Vt.b}[lane],[Xn]",Vt.8B,"ARMv7
ARMv8"
"int8x16_t vld1q_lane_s8(int8_t const * ptr, int8x16_t src, const int lane)","ptr → Xn
src → Vt.16B
0 <= lane <= 15","LD1 {Vt.b}[lane],[Xn]",Vt.16B,"ARMv7
ARMv8"
"int16x4_t vld1_lane_s16(int16_t const * ptr, int16x4_t src, const int lane)","ptr → Xn
src → Vt.4H
0 <= lane <= 3","LD1 {Vt.H}[lane],[Xn]",Vt.4H,"ARMv7
ARMv8"
"int16x8_t vld1q_lane_s16(int16_t const * ptr, int16x8_t src, const int lane)","ptr → Xn
src → Vt.8H
0 <= lane <= 7","LD1 {Vt.H}[lane],[Xn]",Vt.8H,"ARMv7
ARMv8"
"int32x2_t vld1_lane_s32(int32_t const * ptr, int32x2_t src, const int lane)","ptr → Xn
src → Vt.2S
0 <= lane <= 1","LD1 {Vt.S}[lane],[Xn]",Vt.2S,"ARMv7
ARMv8"
"int32x4_t vld1q_lane_s32(int32_t const * ptr, int32x4_t src, const int lane)","ptr → Xn
src → Vt.4S
0 <= lane <= 3","LD1 {Vt.S}[lane],[Xn]",Vt.4S,"ARMv7
ARMv8"
"int64x1_t vld1_lane_s64(int64_t const * ptr, int64x1_t src, const int lane)","ptr → Xn
src → Vt.1D
lane == 0","LD1 {Vt.D}[lane],[Xn]",Vt.1D,"ARMv7
ARMv8"
"int64x2_t vld1q_lane_s64(int64_t const * ptr, int64x2_t src, const int lane)","ptr → Xn
src → Vt.2D
0 <= lane <= 1","LD1 {Vt.D}[lane],[Xn]",Vt.2D,"ARMv7
ARMv8"
"uint8x8_t vld1_lane_u8(uint8_t const * ptr, uint8x8_t src, const int lane)","ptr → Xn
src → Vt.8B
0 <= lane <= 7","LD1 {Vt.B}[lane],[Xn]",Vt.8B,"ARMv7
ARMv8"
"uint8x16_t vld1q_lane_u8(uint8_t const * ptr, uint8x16_t src, const int lane)","ptr → Xn
src → Vt.16B
0 <= lane <= 15","LD1 {Vt.B}[lane],[Xn]",Vt.16B,"ARMv7
ARMv8"
"uint16x4_t vld1_lane_u16(uint16_t const * ptr, uint16x4_t src, const int lane)","ptr → Xn
src → Vt.4H
0 <= lane <= 3","LD1 {Vt.H}[lane],[Xn]",Vt.4H,"ARMv7
ARMv8"
"uint16x8_t vld1q_lane_u16(uint16_t const * ptr, uint16x8_t src, const int lane)","ptr → Xn
src → Vt.8H
0 <= lane <= 7","LD1 {Vt.H}[lane],[Xn]",Vt.8H,"ARMv7
ARMv8"
"uint32x2_t vld1_lane_u32(uint32_t const * ptr, uint32x2_t src, const int lane)","ptr → Xn
src → Vt.2S
0 <= lane <= 1","LD1 {Vt.S}[lane],[Xn]",Vt.2S,"ARMv7
ARMv8"
"uint32x4_t vld1q_lane_u32(uint32_t const * ptr, uint32x4_t src, const int lane)","ptr → Xn
src → Vt.4S
0 <= lane <= 3","LD1 {Vt.S}[lane],[Xn]",Vt.4S,"ARMv7
ARMv8"
"uint64x1_t vld1_lane_u64(uint64_t const * ptr, uint64x1_t src, const int lane)","ptr → Xn
src → Vt.1D
lane == 0","LD1 {Vt.D}[lane],[Xn]",Vt.1D,"ARMv7
ARMv8"
"uint64x2_t vld1q_lane_u64(uint64_t const * ptr, uint64x2_t src, const int lane)","ptr → Xn
src → Vt.2D
0 <= lane <= 1","LD1 {Vt.D}[lane],[Xn]",Vt.2D,"ARMv7
ARMv8"
"poly64x1_t vld1_lane_p64(poly64_t const * ptr, poly64x1_t src, const int lane)","ptr → Xn
src → Vt.1D
lane == 0","LD1 {Vt.D}[lane],[Xn]",Vt.1D,ARMv8
"poly64x2_t vld1q_lane_p64(poly64_t const * ptr, poly64x2_t src, const int lane)","ptr → Xn
src → Vt.2D
0 <= lane <= 1","LD1 {Vt.D}[lane],[Xn]",Vt.2D,ARMv8
"float16x4_t vld1_lane_f16(float16_t const * ptr, float16x4_t src, const int lane)","ptr → Xn
src → Vt.4H
0 <= lane <= 3","LD1 {Vt.H}[lane],[Xn]",Vt.4H,"ARMv7
ARMv8"
"float16x8_t vld1q_lane_f16(float16_t const * ptr, float16x8_t src, const int lane)","ptr → Xn
src → Vt.8H
0 <= lane <= 7","LD1 {Vt.H}[lane],[Xn]",Vt.8H,"ARMv7
ARMv8"
"float32x2_t vld1_lane_f32(float32_t const * ptr, float32x2_t src, const int lane)","ptr → Xn
src → Vt.2S
0 <= lane <= 1","LD1 {Vt.S}[lane],[Xn]",Vt.2S,"ARMv7
ARMv8"
"float32x4_t vld1q_lane_f32(float32_t const * ptr, float32x4_t src, const int lane)","ptr → Xn
src → Vt.4S
0 <= lane <= 3","LD1 {Vt.S}[lane],[Xn]",Vt.4S,"ARMv7
ARMv8"
"poly8x8_t vld1_lane_p8(poly8_t const * ptr, poly8x8_t src, const int lane)","ptr → Xn
src → Vt.8B
0 <= lane <= 7","LD1 {Vt.B}[lane],[Xn]",Vt.8B,"ARMv7
ARMv8"
"poly8x16_t vld1q_lane_p8(poly8_t const * ptr, poly8x16_t src, const int lane)","ptr → Xn
src → Vt.16B
0 <= lane <= 15","LD1 {Vt.B}[lane],[Xn]",Vt.16B,"ARMv7
ARMv8"
"poly16x4_t vld1_lane_p16(poly16_t const * ptr, poly16x4_t src, const int lane)","ptr → Xn
src → Vt.4H
0 <= lane <= 3","LD1 {Vt.H}[lane],[Xn]",Vt.4H,"ARMv7
ARMv8"
"poly16x8_t vld1q_lane_p16(poly16_t const * ptr, poly16x8_t src, const int lane)","ptr → Xn
src → Vt.8H
0 <= lane <= 7","LD1 {Vt.H}[lane],[Xn]",Vt.8H,"ARMv7
ARMv8"
"float64x1_t vld1_lane_f64(float64_t const * ptr, float64x1_t src, const int lane)","ptr → Xn
src → Vt.1D
lane == 0","LD1 {Vt.D}[lane],[Xn]",Vt.1D,ARMv8(AArch64)
"float64x2_t vld1q_lane_f64(float64_t const * ptr, float64x2_t src, const int lane)","ptr → Xn
src → Vt.2D
0 <= lane <= 1","LD1 {Vt.D}[lane],[Xn]",Vt.2D,ARMv8(AArch64)
int8x8_t vld1_dup_s8(int8_t const * ptr),ptr → Xn,"LD1R {Vt.8B},[Xn]",Vt.8B,"ARMv7
ARMv8"
int8x16_t vld1q_dup_s8(int8_t const * ptr),ptr → Xn,"LD1R {Vt.16B},[Xn]",Vt.16B,"ARMv7
ARMv8"
int16x4_t vld1_dup_s16(int16_t const * ptr),ptr → Xn,"LD1R {Vt.4H},[Xn]",Vt.4H,"ARMv7
ARMv8"
int16x8_t vld1q_dup_s16(int16_t const * ptr),ptr → Xn,"LD1R {Vt.8H},[Xn]",Vt.8H,"ARMv7
ARMv8"
int32x2_t vld1_dup_s32(int32_t const * ptr),ptr → Xn,"LD1R {Vt.2S},[Xn]",Vt.2S,"ARMv7
ARMv8"
int32x4_t vld1q_dup_s32(int32_t const * ptr),ptr → Xn,"LD1R {Vt.4S},[Xn]",Vt.4S,"ARMv7
ARMv8"
int64x1_t vld1_dup_s64(int64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,"ARMv7
ARMv8"
int64x2_t vld1q_dup_s64(int64_t const * ptr),ptr → Xn,"LD1R {Vt.2D},[Xn]",Vt.2D,"ARMv7
ARMv8"
uint8x8_t vld1_dup_u8(uint8_t const * ptr),ptr → Xn,"LD1R {Vt.8B},[Xn]",Vt.8B,"ARMv7
ARMv8"
uint8x16_t vld1q_dup_u8(uint8_t const * ptr),ptr → Xn,"LD1R {Vt.16B},[Xn]",Vt.16B,"ARMv7
ARMv8"
uint16x4_t vld1_dup_u16(uint16_t const * ptr),ptr → Xn,"LD1R {Vt.4H},[Xn]",Vt.4H,"ARMv7
ARMv8"
uint16x8_t vld1q_dup_u16(uint16_t const * ptr),ptr → Xn,"LD1R {Vt.8H},[Xn]",Vt.8H,"ARMv7
ARMv8"
uint32x2_t vld1_dup_u32(uint32_t const * ptr),ptr → Xn,"LD1R {Vt.2S},[Xn]",Vt.2S,"ARMv7
ARMv8"
uint32x4_t vld1q_dup_u32(uint32_t const * ptr),ptr → Xn,"LD1R {Vt.4S},[Xn]",Vt.4S,"ARMv7
ARMv8"
uint64x1_t vld1_dup_u64(uint64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,"ARMv7
ARMv8"
uint64x2_t vld1q_dup_u64(uint64_t const * ptr),ptr → Xn,"LD1R {Vt.2D},[Xn]",Vt.2D,"ARMv7
ARMv8"
poly64x1_t vld1_dup_p64(poly64_t const * ptr),ptr → Xn,"LD1 {Vt.1D},[Xn]",Vt.1D,ARMv8
poly64x2_t vld1q_dup_p64(poly64_t const * ptr),"LD1R {Vt.2D},[Xn]",Vt.2D,ptr → Xn,ARMv8
float16x4_t vld1_dup_f16(float16_t const * ptr),"LD1R {Vt.4H},[Xn]",Vt.4H,ptr → Xn,"ARMv7
ARMv8"
float16x8_t vld1q_dup_f16(float16_t const * ptr),"LD1R {Vt.8H},[Xn]",Vt.8H,ptr → Xn,"ARMv7
ARMv8"
float32x2_t vld1_dup_f32(float32_t const * ptr),"LD1R {Vt.2S},[Xn]",Vt.2S,ptr → Xn,"ARMv7
ARMv8"
float32x4_t vld1q_dup_f32(float32_t const * ptr),ptr → Xn,"LD1R {Vt.4S},[Xn]",Vt.4S,"ARMv7
ARMv8"
